id,label,color,removed_from_main_displays,flush_intervention,source_poi_type_id,target_poi_type_id
0,Message acknowledged,Grey,0,0,,
1,Dispatched,Red,0,0,,1
2,En route,Red,0,0,,1
3,On scene,Orange,0,0,1,
4,Transporting,Blue,0,0,1,
5,At destination,Blue,0,0,,
6,Returning to station,Green,0,0,,
7,Available at station,Green,1,1,,
8,Available on the road,Green,1,0,,
9,Out of service,Grey,1,1,,
10,Refuelling,Grey,0,0,,
11,Maintenance,Grey,1,1,,
